csr_loss,cme_loss,val_csr_loss,val_cme_loss,train_type
,0.046017032257284395,,0.042651045641373626,cme
,0.022641736097487413,,0.034682125271890164,cme
,0.019261241385282752,,0.0361874992865956,cme
,0.017431575348027473,,0.032230663611028054,cme
,0.01653667928725068,,0.029815266853722912,cme
,0.015871482410134738,,0.032824273658458615,cme
,0.015434885745009086,,0.031420527953565265,cme
,0.014984525291374437,,0.02975308640381925,cme
,0.0147299873549491,,0.03239106686909582,cme
,0.014802315260784541,,0.030986031239345995,cme
,0.014504867587758886,,0.030394475654336072,cme
,0.014278633035834055,,0.03039147209693127,cme
,0.014139317603742997,,0.03141902871480783,cme
,0.014100786883570951,,0.029433835616976115,cme
,0.013896732785991236,,0.024576571845597528,cme
,0.014234209058274548,,0.027695346203772817,cme
,0.013796407175197473,,0.02944983834416595,cme
,0.013680067187859517,,0.03050042291875991,cme
,0.013649980803430413,,0.02598424996653438,cme
,0.013800843431954755,,0.02378484546514878,cme
,0.013478185690861753,,0.023544086820391715,cme
,0.013703711871022416,,0.025390363123027147,cme
,0.013412240977667082,,0.024526792940642955,cme
,0.013401421299270336,,0.027243810097061966,cme
,0.013367009842821208,,0.02740541737367289,cme
,0.013488381981279104,,0.026164597306667318,cme
,0.013363759833900441,,0.02435339106208964,cme
,0.01321852861668129,,0.02483813855621858,cme
,0.013359374576993486,,0.02346503040038421,cme
,0.013183452328887521,,0.02370168863246405,cme
,0.013239478144740002,,0.02685015017982768,cme
,0.013135260018633792,,0.02227693641300026,cme
,0.013152691224677281,,0.02352974658707059,cme
,0.013101692365382766,,0.02974411928562843,cme
,0.013104685148476429,,0.02821751763717517,cme
,0.013223030664975714,,0.0311435617097355,cme
,0.013473420231065212,,0.02949081691311453,cme
,0.013157413754957102,,0.029253717172818546,cme
,0.013206344227880739,,0.02215982810396353,cme
,0.013073121731841568,,0.030097372481091945,cme
0.09229012365502373,0.031381982576501495,0.08736096242345522,0.03009737281273083,finetune
0.056204644426911574,0.03138198255600755,0.0743025477364708,0.03009737299869158,finetune
0.049483854500118205,0.03138198255887378,0.0722750091077012,0.03009737306421054,finetune
0.04656923063826117,0.03138198256879561,0.07108592642250795,0.030097372879309376,finetune
0.04478598081332194,0.03138198257744956,0.07222920521874497,0.030097373059972104,finetune
0.04349602014228529,0.03138198257839761,0.06991221377591027,0.030097372871009123,finetune
0.042523628755254,0.03138198255224828,0.06812842551916058,0.030097372901031285,finetune
0.041794935374019675,0.03138198253510566,0.06339614214720338,0.030097372841869984,finetune
0.041122806317007536,0.031381982584008934,0.06735891573163857,0.030097372883900998,finetune
0.040606743097305095,0.03138198255636032,0.06507413182351117,0.030097372827565316,finetune
0.03518912584185729,0.013587235540950156,0.057313247662641086,0.0247776358351208,csr
0.034432324847033804,0.013725832823089982,0.052330560430667354,0.022874411578705244,csr
0.03395960579409311,0.013761598837371642,0.05249367336809261,0.023203881181456124,csr
0.03359836788546418,0.013777247625512308,0.052373599579774735,0.02343018638729192,csr
0.03329883627554719,0.013789261517029658,0.05050005838647935,0.022947360922329386,csr
0.033048120819977725,0.013796187512205845,0.050852341562434886,0.02308975679466354,csr
0.032824273811438126,0.01380921931270705,0.048971306645363366,0.022181396315962654,csr
0.03263499428352307,0.013802547358593958,0.0495715500251164,0.022427325808890685,csr
0.032485227444575875,0.013830985864241861,0.048323062806586894,0.021934313589139193,csr
0.03228970831609324,0.01379404993966805,0.051197526789693,0.023516937594429056,csr
0.032149249550650016,0.013791591353737795,0.0499284458112139,0.022836529820090355,csr
0.03201319278709968,0.013791546511217367,0.048832029151420445,0.022414488454884248,csr
0.03189170718512313,0.013786583986240511,0.048917070342548795,0.02238443511663874,csr
0.03177159936564165,0.013777313639680315,0.04807990101348036,0.02210936000903656,csr
0.03167064093157406,0.013775104447780608,0.048265227561678746,0.022290452611521034,csr
